case_id,step,age,block,feature_relative_l1,feature_cosine_distance,baseline_guided_noise_error,replacement_guided_noise_error,error_reduction,recovery_fraction,suffix_milliseconds
animal_seed0,12,2,down_block_3,0.3152905962984665,0.05094219245211573,0.09670108556747437,0.08500783145427704,0.011693254113197327,0.12092164265351722,1992.6202392578125
animal_seed0,12,2,mid_block,0.27972220690642124,0.038737601849086034,0.09670108556747437,0.08528932929039001,0.01141175627708435,0.1180106325602897,1984.4881591796875
animal_seed0,12,2,up_block_3,0.23231636470651748,0.024146678110236963,0.09670108556747437,0.08479499071836472,0.01190609484910965,0.12312265968102319,1932.4532470703125
animal_seed0,12,2,up_block_2,0.24765940311924145,0.0329154280806232,0.09670108556747437,0.05703296139836311,0.03966812416911125,0.4102138454426381,1774.4144287109375
animal_seed0,12,2,up_block_1,0.23800467519219434,0.029343904254462094,0.09670108556747437,0.03243871033191681,0.06426237523555756,0.6645465752369212,1513.1351318359375
animal_seed0,12,2,up_boundary,0.21671123365434547,0.02234451702576523,0.09670108556747437,0.0,0.09670108556747437,1.0,421.95611572265625
animal_seed0,15,2,down_block_0,0.2421122335680521,0.026626709680868443,0.11785932630300522,0.0,0.11785932630300522,1.0,2317.232421875
animal_seed0,15,2,down_block_1,0.30055623313873703,0.04097608062965563,0.11785932630300522,0.052084699273109436,0.06577462702989578,0.5580774054383734,2175.515380859375
animal_seed0,15,2,down_block_2,0.29203318832145797,0.043555424607983895,0.11785932630300522,0.07496307790279388,0.042896248400211334,0.3639614254193947,2057.580322265625
animal_seed0,15,2,down_block_3,0.2669304123402225,0.036099195318848865,0.11785932630300522,0.09745324403047562,0.020406082272529602,0.17313930863703977,2058.58154296875
animal_seed0,15,2,mid_block,0.24245418127376048,0.029125303644894296,0.11785932630300522,0.09861394017934799,0.019245386123657227,0.16329116012575154,2020.02001953125
animal_seed0,15,2,up_block_3,0.21368001160887884,0.02052797297768938,0.11785932630300522,0.09725524485111237,0.020604081451892853,0.17481927055073862,1987.5810546875
animal_seed0,15,2,up_block_2,0.22057099003539174,0.02343400460071743,0.11785932630300522,0.07362958788871765,0.04422973841428757,0.37527567653472815,1826.5518798828125
animal_seed0,15,2,up_block_1,0.2191560136798143,0.02368524611953282,0.11785932630300522,0.04674741253256798,0.07111191377043724,0.6033626357884926,1564.9549560546875
animal_seed0,15,2,up_boundary,0.22403609007072428,0.02542870984037482,0.11785932630300522,0.0,0.11785932630300522,1.0,451.4148254394531
animal_seed0,18,2,down_block_0,0.29666612513598833,0.03991356360003684,0.17912296950817108,0.0,0.17912296950817108,1.0,2362.0390625
animal_seed0,18,2,down_block_1,0.31342885144545113,0.04538853422622868,0.17912296950817108,0.09322995692491531,0.08589301258325577,0.4795198115523513,2199.48583984375
animal_seed0,18,2,down_block_2,0.29453023630476755,0.0423514245982779,0.17912296950817108,0.12052705138921738,0.058595918118953705,0.3271267681629224,2118.53564453125
animal_seed0,18,2,down_block_3,0.27046695531054116,0.03612552577019701,0.17912296950817108,0.14252342283725739,0.036599546670913696,0.20432637294595615,2077.281005859375
animal_seed0,18,2,mid_block,0.23758939861546663,0.02731020569088438,0.17912296950817108,0.14279036223888397,0.03633260726928711,0.20283611515065755,2054.654541015625
animal_seed0,18,2,up_block_3,0.20271976120355392,0.018015054865777813,0.17912296950817108,0.14216110110282898,0.0369618684053421,0.20634912712105305,2012.689453125
animal_seed0,18,2,up_block_2,0.24999732049986031,0.030896039008432852,0.17912296950817108,0.11819494515657425,0.06092802435159683,0.3401463504032489,1858.351318359375
